Spp,Genus_Species
AB,Angophora bakeri
AE,Acacia elongata
AF,Acacia falcata
AL,Allocasuarina littoralis
AO,Acacia podalyriifolia
AP,Acacia parramattensis
BP,Bursaria spinosa
BS,Banksia spinulosa
CG,Corymbia gummifera
DF,Dodonaea falcata
EF,Eucalyptus fibrosa
EL,Eucalyptus longifolia
ER,Eucalyptus racemosa
ES,Exocarpos strictus
HD,Hakea dactyloides
MD,Melaleuca decora
ML,Melaleuca linariifolia
PL,Persoonia linearis
