Spp,maxA_time_gam,maxE_time_gam,maxgs_time_gam,minPsixylem_time_gam,minPsileaf_time_gam,Cs,Tau,relPsi_xylem_11,relPsi_leaf_11,relAarea_11,relgsw_11,relWUE_11,relE_11,relVPDleaf_11,absPsi_xylem_11,absPsi_leaf_11,absAarea_11,absgsw_11,absWUE_11,absE_11,absVPDleaf_11,relPsi_xylem_12,relPsi_leaf_12,relAarea_12,relgsw_12,relWUE_12,relE_12,relVPDleaf_12,absPsi_xylem_12,absPsi_leaf_12,absAarea_12,absgsw_12,absWUE_12,absE_12,absVPDleaf_12,relPsi_xylem_13,relPsi_leaf_13,relAarea_13,relgsw_13,relWUE_13,relE_13,relVPDleaf_13,absPsi_xylem_13,absPsi_leaf_13,absAarea_13,absgsw_13,absWUE_13,absE_13,absVPDleaf_13,iWUE,Psi_diff_var,Psi_diff_mean,gsw_VPD1,gsw_VPD1.01
AB,11.1091,12.938,11.6986,13.211,12.526,594.9731501,72.37383918,-0.878157581,-0.915671543,0.999238335,0.983276864,0.715448342,0.895227819,0.840218606,-0.694337959,-1.622471287,10.78578189,0.101303141,5952.912313,0.002265565,2.228577406,-0.967428832,-0.995499721,0.970259282,0.998312011,0.662469429,0.975226829,0.921827504,-0.764922578,-1.763918215,10.4729819,0.102852153,5512.099455,0.002468019,2.445035059,-0.999999661,-0.976050962,0.891800142,0.960271971,0.613049767,0.999797401,0.97886291,-0.790675545,-1.72945711,9.626093682,0.098933037,5100.901474,0.0025302,2.596314517,106.94737,0.373649545,0.503,0.027656105,0.028397083
AE,9.5948,13.014,10.6003,13.294,14.067,141.490793,5.329200243,-0.942190734,-0.978350532,0.909132717,0.8910504,0.441132964,0.905600854,0.733369924,-0.660362299,-1.064927967,13.29209211,0.20822878,4441.32918,0.003388764,1.806965598,-0.983754398,-0.995910377,0.84203284,0.79857392,0.407794817,0.968601242,0.817704808,-0.689493424,-1.084041741,12.31104971,0.186618033,4105.680528,0.003624512,2.014760095,-0.999843635,-0.996296325,0.883563837,0.763945326,0.392265082,0.99999276,0.884801508,-0.700770043,-1.084461842,12.91825901,0.178525708,3949.327069,0.003741979,2.180081065,76.51861,0.06592006,0.260238095,0.194805598,0.196704629
AF,11.0974,13.515,10.0848,13.096,13.771,170.8635736,14.38843295,-0.910193733,-0.857307983,0.9997527,0.9973279,0.3630695,0.8462172,0.755388,-0.731710385,-1.361198624,15.22839,0.2168474,4388.59,0.003577731,1.942131,-0.965797904,-0.931298145,0.981399,0.9722883,0.3444464,0.918729,0.8227895,-0.776410923,-1.478677183,14.94883,0.2114031,4163.484,0.003884304,2.115423,-0.997257971,-0.986743214,0.9347328,0.9300699,0.3234873,0.9873862,0.8778162,-0.801701866,-1.566710602,14.238,0.2022236,3910.142,0.004174581,2.256899,83.69677,0.17945331,0.503911111,0.1531701,0.154632
EF,9.7801,12.803,11.7914,12.987,11.815,143.8992489,18.74708993,-0.9465373,-0.9916517,0.9444433,0.983678,0.5401921,0.8949053,0.8035018,-1.172686,-2.075818,14.44609,0.1809042,5417.634,0.003328671,2.034383,-0.9912619,-0.9964065,0.888876,0.9626888,0.4877031,0.9724757,0.8809645,-1.228097,-2.085771,13.59614,0.1770442,4891.218,0.0036172,2.230511,-0.9991504,-0.9705748,0.8644797,0.933304,0.4455855,0.9983361,0.9399417,-1.23787,-2.031698,13.22298,0.1716402,4468.816,0.00371339,2.379835,90.61683,0.213575565,0.548652174,0.1232338,0.1245812
ER,10.331,12.869,9.7577,12.979,13.862,204.8632812,9.143793812,-0.9201872,-0.8573924,0.9738661,0.9925973,0.3835856,0.8830506,0.829418,-0.8960459,-1.569522,16.59921,0.2685662,3827.263,0.00452878,1.885856,-0.9855403,-0.9053693,0.9257968,0.9993749,0.3448558,0.9693079,0.8998668,-0.9596844,-1.657347,15.77988,0.2704,3440.833,0.004971155,2.046036,-0.9980828,-0.9768352,0.9027577,0.9697734,0.3232715,0.9993149,0.9526528,-0.9718979,-1.788171,15.38719,0.2623908,3225.473,0.005125049,2.166057,71.09516,0.191394916,0.542195652,0.1439854,0.1457904
HD,9.2625,11.906,8.4266,11.478,13.066,60.74680528,1.952309288,-0.9981768,-0.924739,0.8400224,0.9196622,0.3966585,0.9830087,0.8478198,-0.8547325,-1.602784,14.14181,0.2938724,3438.004,0.004693422,1.899993,-0.982849,-0.9825579,0.7597232,0.8129164,0.3748168,0.9998321,0.9296752,-0.8416074,-1.702997,12.78997,0.2597624,3248.694,0.004773746,2.083434,-0.896697,-0.9994526,0.7289466,0.718736,0.3694035,0.9794872,0.9803038,-0.767836,-1.732279,12.27185,0.2296676,3201.774,0.004676609,2.196894,61.18795,0.110821815,0.466767442,0.2385193,0.2408563
PL,8.2203,13.541,9.3681,12.104,11.253,74.5752907,15.20867162,-0.9752665,-0.9998378,0.7830944,0.6104161,0.3819184,0.8164003,0.6840348,-0.8378124,-1.270547,8.039334,0.1434104,3596.104,0.00277413,1.85011,-0.9994063,-0.974186,0.7667763,0.6146011,0.3510787,0.8919506,0.7603157,-0.8585499,-1.23795,7.871811,0.1443936,3305.72,0.00303085,2.056427,-0.9693014,-0.9291785,0.8187974,0.6924959,0.3268857,0.9881566,0.8248827,-0.832688,-1.180757,8.405865,0.1626941,3077.922,0.003357759,2.231061,64.74741,0.061414755,0.279866667,0.2182911,0.2198331
